EventDate,ProbableCause,CausasProbables
2023-01-24,The pilot’s intentional flight into terrain as an act of suicide.,['suicide']
2023-01-21,The NTSB determined that the probable cause of the incident in Boca Raton was the deliberate entry onto the track and into the path of the Brightline train by the female trespasser committing suicide.,['suicide']
2022-12-03,Not investigated by NTSB,[]
2022-08-18,The pilot's suicide.,['suicide']
2022-04-05,The pilot’s failure to maintain control of the airplane during landing for reasons that could not be determined based on available information.,['failure']
2022-01-30,"The noncertificated pilot’s failure to maintain control of the airplane, which led to the airplane exceeding its critical angle-of-attack and subsequent aerodynamic stall. Contributing to the accident was the pilot’s decision to attempt a flight with no previous flight experience.",['failure']
2021-12-22,"The pilot’s exceedance of the airplane’s critical angle of attack following an aborted landing approach, which resulted in an aerodynamic stall and loss of control at an altitude too low for recovery.","['exceedance', 'loss']"
2021-12-08,"The student pilot’s decision to depart into night instrument meteorological conditions, which resulted in spatial disorientation and a loss of airplane control.",['loss']
2021-12-08,"The pilot’s failure to maintain clearance from terrain while intentionally maneuvering in a canyon at low altitude. Contributing to the accident was the pilot’s decision to enter a canyon environment at a low altitude, and the sudden change in wind conditions within the canyon.",['failure']
2021-12-04,The pilot’s loss of control due to spatial disorientation shortly after takeoff. Contributing to the accident was the pilot’s decision to depart into night instrument meteorological conditions.,['loss']
2021-12-03,"The noninstrument rated pilot’s improper decision to continue visual flight rules flight into instrument meteorological conditions, which resulted in spatial disorientation and a subsequent impact with terrain.",[]
2021-11-16,"The airplane’s encounter with severe to extreme turbulence associated with mountain wave rotor cloud activity, which resulted in loss of airplane control.",['loss']
2021-11-15,"The pilot’s failure to maintain sufficient airspeed and his exceedance of the airplane’s critical angle of attack while in icing conditions, which resulted in an aerodynamic stall and subsequent ground impact.","['failure', 'exceedance']"
2021-11-12,"The pilot’s improper landing approach, which failed to account for wind conditions, and his exceedance of the airplane’s critical angle of attack following an overshoot of the runway extended centerline, resulting in an accelerated aerodynamic stall. Contributing to the accident was the pilot’s lack of experience flying into challenging backcountry airstrips.",['exceedance']
2021-11-07,"The pilot's failure to maintain adequate airspeed while maneuvering, which resulted in an exceedance of the airplane’s critical angle of attack and an aerodynamic stall.","['failure', 'exceedance']"
2021-11-05,"The pilot’s failure to maintain adequate airspeed and exceedance of the airplane’s critical angle of attack during landing approach, which resulted in an aerodynamic stall.","['failure', 'exceedance']"
2021-10-28,"A power interruption due to water-contaminated fuel, which resulted in the student pilot aborting the takeoff and landing hard. Contributing to the accident were a leak in the left fuel tank that allowed water to enter and damage to the fuel tank that prevented water from being properly drained during the preflight inspection.",[]
2021-10-28,"The pilot’s decision to fly the airplane into known icing conditions, which resulted in a loss of airplane control and collision with terrain.",['loss']
2021-10-23,"The pilot's exceedance of the airplane’s critical angle of attack while maneuvering for landing, which resulted in an aerodynamic stall and loss of control.","['exceedance', 'loss']"
2021-10-18,The pilot’s intentional flight into terrain as an act of suicide.,['suicide']
2021-10-18,"The pilot’s lack of experience in the gyroplane and his decision to takeoff with a tailwind. As a result, the gyroplane did not generate enough lift to takeoff before it struck a barbed wire fence. Contributing to the accident was the pilot’s failure to wear a seatbelt, which would have reduced his level of injury.",['failure']
2021-10-12,"The noninstrument-rated pilot’s decision to depart and continue flight into instrument meteorological conditions, which resulted in a loss of control due to spatial disorientation.",['loss']
2021-10-06,The pilot’s abrupt pitch up maneuver in response to the localized wind conditions which resulted in an aerodynamic stall at low altitude and subsequent impact with water.,[]
2021-10-03,"The improper judgment of both pilots to attempt a flight while impaired by drugs/medications and their failure to maintain control of the aircraft, which resulted in an aerodynamic stall and impact with terrain.",['failure']
2021-09-26,"The pilot’s exceedance of the airplane’s critical angle of attack while maneuvering to avoid trees and terrain after takeoff, which resulted in an aerodynamic stall and loss of control. Also causal was the pilot’s decision to operate the airplane outside of its weight and balance limitations and his decision to continue the takeoff after two previous aborted takeoffs during which the airplane demonstrated reduced performance.","['exceedance', 'loss']"
2021-09-22,"The pilot’s improper fuel planning for a cross-country flight, which resulted in fuel exhaustion and a total loss of engine power.",['loss']
2021-09-18,"The pilot’s decision to depart shortly after a landing helicopter, which resulted in an encounter with the helicopter’s wake turbulence and a loss of airplane control. Contributing to the accident was the pilot’s impairment by his recent use of ethanol.",['loss']
2021-09-13,"The NTSB determines that the probable cause of the Coral Gables, Florida, crash was the driver's decision to travel at an excessive speed, which led to the failure of the driver to control his car.","['crash', 'failure']"
2021-09-10,The pilot’s failure to maintain clearance from powerlines while maneuvering at low altitude.,['failure']
2021-09-06,An aerodynamic stall/spin and loss of control for reasons that could not be determined based on the available information.,['loss']
2021-09-03,A loss of airplane control for a reason that could not be determined based on available information.,['loss']
2021-08-28,"The pilot’s decision to continue the flight into a canyon that exceeded the performance capabilities of the airplane, which resulted in an impact with trees an terrain.",[]
2021-08-22,The pilot’s failure to maintain control of the airplane which resulted in an aerodynamic stall and impact with terrain.,['failure']
2021-08-21,"The pilot’s exceedance of the airplane’s critical angle of attack during the initial climb, which resulted in an aerodynamic stall. Contributing to the accident was the pilot’s inadequate preflight planning, which resulted in an exceedance of the airplane’s weight and balance limitations and decreased takeoff performance.","['exceedance', 'exceedance']"
2021-08-20,The pilot’s failure to arrest the airplane’s left roll and rapid descent for reasons that could not be determined based on the available evidence.,['failure']
2021-08-15,"The decision of both pilots to fly into a steep canyon, which resulted in the airplane being unable to maintain a sufficient altitude to clear rising terrain. Contributing to the accident was their delayed initial action in responding to the hazard, and their failure to recognize the danger due to mountain obscuration caused by thick haze and smoke.",['failure']
2021-08-15,"The National Transportation Safety Board determines that the probable cause of the August 15, 2021, pipeline rupture in Coolidge, Arizona, was tented tape wrap leading to stress corrosion cracking, a fracture at a longitudinal seam weld, and subsequent rupture of the pipe. Contributing to the rupture was Kinder Morgan’s failure to record the correct coating type used for this segment of pipeline, leading to a risk assessment that did not fully identify the risk of stress corrosion cracking.",['failure']
2021-08-10,The pilot’s intentional flight under power lines and his failure to maintain clearance from the lines during an aerial application flight.,['failure']
2021-08-07,"The pilot’s loss of airplane control due to spatial disorientation during final approach, which led to a spiral dive that overstressed the airplane and resulted in an in-flight breakup.",['loss']
2021-08-05,"The pilot’s decision to continue visual flight rules (VFR) flight into instrument meteorological conditions (IMC), which resulted in controlled flight into terrain. Contributing to the accident was the FAA’s reliance on voluntary compliance with the Ketchikan Operator’s Letter of Agreement.",[]
2021-08-04,The pilot’s failure to maintain clearance from trees while maneuvering at low altitude.,['failure']
2021-07-31,"The flight crew’s exceedance of the airplane’s critical angle of attack during a simulated engine failure during initial climb after takeoff, which led to an aerodynamic stall/spin and loss of control. Contributing to the severity of the occupants’ injuries was the airplane’s lack of shoulder harnesses.","['exceedance', 'failure', 'loss']"
2021-07-30,"The pilot’s exceedance of the airplane’s critical angle of attack while maneuvering in the airport traffic pattern, which resulted in an aerodynamic stall and loss of control.","['exceedance', 'loss']"
