"NtsbNo","EventType","Mkey","EventDate","City","State","Country","ReportNo","N#","HasSafetyRec","Mode","ReportType","OriginalPublishedDate","HighestInjuryLevel","FatalInjuryCount","SeriousInjuryCount","MinorInjuryCount","ProbableCause","Findings","DocketUrl"
"CEN23LA199","ACC","192228","2023-05-23T09:15:00Z","Abbeville","LA","USA",,"N451PH","false","Aviation","DirectorBrief",,"None",,,,,,"https://data.ntsb.gov/Docket?ProjectID=192228"
"WPR23LA194","ACC","192213","2023-05-21T10:30:00Z","Spanish Fork","UT","USA",,"N668LD","false","Aviation","DirectorBrief",,"Minor",,,,,,"https://data.ntsb.gov/Docket?ProjectID=192213"
"WPR23LA195","ACC","192216","2023-05-21T07:30:00Z","Mobile","AZ","USA",,"N108AM","false","Aviation","DirectorBrief",,"Minor",,,,,,"https://data.ntsb.gov/Docket?ProjectID=192216"
"WPR23LA193","ACC","192211","2023-05-20T11:30:00Z","American Falls","ID","USA",,"N77J","false","Aviation","DirectorBrief",,"Minor",,,,,,"https://data.ntsb.gov/Docket?ProjectID=192211"
"GAA23WA153","ACC","192226","2023-05-20T09:31:00Z","Les Combes-Dernier",,"SZ",,"HB-EQD","false","Aviation","None",,"Fatal",,,,,,"https://data.ntsb.gov/Docket?ProjectID=192226"
"WPR23LA198","ACC","192223","2023-05-20T06:30:00Z","Clovis","NM","USA",,"N71983","false","Aviation","DirectorBrief",,"Minor",,,,,,"https://data.ntsb.gov/Docket?ProjectID=192223"
"ANC23LA037","ACC","192219","2023-05-19T17:00:00Z","Hunter Creek","AK","USA",,"N4231Z","false","Aviation","DirectorBrief",,"None",,,,,,"https://data.ntsb.gov/Docket?ProjectID=192219"
"CEN23LA193","ACC","192212","2023-05-19T16:25:00Z","DeKalb","IL","USA",,"N442TM","false","Aviation","DirectorBrief",,"None",,,,,,"https://data.ntsb.gov/Docket?ProjectID=192212"
"CEN23LA191","ACC","192209","2023-05-18T13:47:00Z","Genoa","IL","USA",,"N6840F","false","Aviation","DirectorBrief",,"Minor",,,,,,"https://data.ntsb.gov/Docket?ProjectID=192209"
"ERA23FA235","ACC","180442","2023-05-18T11:24:00Z","Summerville","SC","USA",,"N255HJ","false","Aviation","DirectorBrief",,"None",,,,,,"https://data.ntsb.gov/Docket?ProjectID=180442"
"ERA23LA237","ACC","180446","2023-05-18T10:30:00Z","PETERSBURG","WV","USA",,"N80Y","false","Aviation","DirectorBrief",,"None",,,,,,"https://data.ntsb.gov/Docket?ProjectID=180446"
"CEN23LA194","ACC","192214","2023-05-18T08:00:00Z","Indianola","MS","USA",,"N63B","false","Aviation","DirectorBrief",,"None",,,,,,"https://data.ntsb.gov/Docket?ProjectID=192214"
"ANC23LA036","ACC","192218","2023-05-17T11:22:00Z","Point Thomson","AK","USA",,"N34WM","false","Aviation","DirectorBrief",,"None",,,,,,"https://data.ntsb.gov/Docket?ProjectID=192218"
"ANC23LA035","ACC","192217","2023-05-17T09:55:00Z","Anchorage","AK","USA",,"N7741D","false","Aviation","DirectorBrief",,"None",,,,,,"https://data.ntsb.gov/Docket?ProjectID=192217"
"CEN23LA188","ACC","174544","2023-05-16T18:12:00Z","Flower Mound","TX","USA",,"N5550J","false","Aviation","DirectorBrief",,"Minor",,,,,,"https://data.ntsb.gov/Docket?ProjectID=174544"
"DCA23LA290","ACC","180444","2023-05-15T18:36:00Z","Sierra Vista","AZ","USA",,"CBP-104","false","Aviation","DirectorBrief",,,,,,,,"https://data.ntsb.gov/Docket?ProjectID=180444"
"WPR23LA191","ACC","174533","2023-05-15T10:00:00Z","Spanish Fork","UT","USA",,"N227WM","false","Aviation","DirectorBrief",,"None",,,,,,"https://data.ntsb.gov/Docket?ProjectID=174533"
"ENG23WA028","ACC","174546","2023-05-15T09:47:00Z","Hohn",,"GE",,"D-CGFQ","false","Aviation","None",,,,,,,,"https://data.ntsb.gov/Docket?ProjectID=174546"
"DCA23WA289","INC","180443","2023-05-14T16:01:00Z","Luxembourg","OF","LU",,"LX-OCV","false","Aviation","None",,"None",,,,,,"https://data.ntsb.gov/Docket?ProjectID=180443"
"WPR23FA188","ACC","171570","2023-05-14T11:00:00Z","Albany","WY","USA",,"N665B","false","Aviation","DirectorBrief",,,,,,,,"https://data.ntsb.gov/Docket?ProjectID=171570"
"CEN23FA187","ACC","174543","2023-05-14T09:30:00Z","Chambers","NE","USA",,"N2946U","false","Aviation","DirectorBrief",,"Fatal",,,,,,"https://data.ntsb.gov/Docket?ProjectID=174543"
"WPR23LA189","ACC","174531","2023-05-13T16:30:00Z","Twisp","WA","USA",,"N185MG","false","Aviation","DirectorBrief",,"None",,,,,,"https://data.ntsb.gov/Docket?ProjectID=174531"
"CEN23LA184","ACC","174534","2023-05-13T14:42:00Z","Gardner","KS","USA",,"N8932L","false","Aviation","DirectorBrief",,"Serious",,,,,,"https://data.ntsb.gov/Docket?ProjectID=174534"
"GAA23WA149","ACC","174536","2023-05-13T11:30:00Z","Konakovo",,"RS",,"RA-07372","false","Aviation","None",,"None",,,,,,"https://data.ntsb.gov/Docket?ProjectID=174536"
"WPR23LA190","ACC","174532","2023-05-12T09:45:00Z","Elko","NV","USA",,"N12HD","false","Aviation","DirectorBrief",,,,,,,,"https://data.ntsb.gov/Docket?ProjectID=174532"
"ERA23LA230","ACC","149069","2023-05-11T18:18:00Z","Wildwood","NJ","USA",,"N4264T","false","Aviation","DirectorBrief",,,,,,,,"https://data.ntsb.gov/Docket?ProjectID=149069"
"ERA23LA232","ACC","174541","2023-05-11T18:15:00Z","Selma","AL","USA",,"N1347T","false","Aviation","DirectorBrief",,,,,,,,"https://data.ntsb.gov/Docket?ProjectID=174541"
"ANC23LA034","ACC","162755","2023-05-11T17:00:00Z","Sterling","AK","USA",,"N3151","false","Aviation","DirectorBrief",,,,,,,,"https://data.ntsb.gov/Docket?ProjectID=162755"
"CEN23LA181","ACC","174523","2023-05-11T10:06:00Z","Wisconsin Rapids","WI","USA",,"N2485F","false","Aviation","DirectorBrief",,"Serious",,,,,,"https://data.ntsb.gov/Docket?ProjectID=174523"
"DCA23LA281","ACC","174520","2023-05-11T04:00:00Z","New Orleans","LA","USA",,"N88331","false","Aviation","DirectorBrief",,,,,,,,"https://data.ntsb.gov/Docket?ProjectID=174520"
"DCA23WA291","INC","192204","2023-05-11T04:00:00Z","Monterrey",,"MX",,"N518VL","false","Aviation","None",,"None",,,,,,"https://data.ntsb.gov/Docket?ProjectID=192204"
"ERA23LA233","ACC","174542","2023-05-10T12:40:00Z","Akron","OH","USA",,"UNREG","false","Aviation","DirectorBrief",,"Minor",,,,,,"https://data.ntsb.gov/Docket?ProjectID=174542"
"ANC23LA033","ACC","162754","2023-05-10T12:10:00Z","Soldotna","AK","USA",,"N30AG","false","Aviation","DirectorBrief",,"None",,,,,,"https://data.ntsb.gov/Docket?ProjectID=162754"
"WPR23FA185","ACC","130456","2023-05-10T06:47:00Z","San Clemente Island","CA","USA",,"N56PA","false","Aviation","DirectorBrief",,"Fatal",,,,,,"https://data.ntsb.gov/Docket?ProjectID=130456"
"CEN23LA185","ACC","174535","2023-05-09T11:59:00Z","Midland","TX","USA",,"N433CF","false","Aviation","DirectorBrief",,"None",,,,,,"https://data.ntsb.gov/Docket?ProjectID=174535"
"ANC23LA032","ACC","139291","2023-05-09T11:00:00Z","Skwentna","AK","USA",,"N704T","false","Aviation","DirectorBrief",,"Minor",,,,,,"https://data.ntsb.gov/Docket?ProjectID=139291"
"ERA23LA226","ACC","139288","2023-05-09T10:00:00Z","Frenchville","ME","USA",,"N1885B","false","Aviation","DirectorBrief",,"None",,,,,,"https://data.ntsb.gov/Docket?ProjectID=139288"
"DCA23WA283","INC","174522","2023-05-08T07:44:00Z","London",,"UK",,"G-VIIK","false","Aviation","None",,,,,,,,"https://data.ntsb.gov/Docket?ProjectID=174522"
"ERA23LA222","ACC","114705","2023-05-07T20:35:00Z","Hernando","FL","USA",,"N150VL","false","Aviation","DirectorBrief",,"Serious",,,,,,"https://data.ntsb.gov/Docket?ProjectID=114705"
"WPR23LA180","ACC","114707","2023-05-07T18:30:00Z","Ariel","WA","USA",,"N6058D","false","Aviation","DirectorBrief",,"None",,,,,,"https://data.ntsb.gov/Docket?ProjectID=114707"
"ERA23FA219","ACC","114699","2023-05-07T17:48:00Z","Reliance","TN","USA",,"N725AS","false","Aviation","DirectorBrief",,"Fatal",,,,,,"https://data.ntsb.gov/Docket?ProjectID=114699"
"DCA23WA274","INC","122572","2023-05-07T14:05:00Z","Abuja",,"NI",,"5N-MBD","false","Aviation","DirectorBrief",,,,,,,,"https://data.ntsb.gov/Docket?ProjectID=122572"
"WPR23LA178","ACC","114703","2023-05-07T13:00:00Z","Belen","NM","USA",,"N80892","false","Aviation","DirectorBrief",,"None",,,,,,"https://data.ntsb.gov/Docket?ProjectID=114703"
"CEN23LA178","ACC","122569","2023-05-06T15:05:00Z","Carta Valley","TX","USA",,"N254DM","false","Aviation","DirectorBrief",,"Serious",,,,,,"https://data.ntsb.gov/Docket?ProjectID=122569"
"CEN23FA173","ACC","114697","2023-05-06T14:22:00Z","Ennis","TX","USA",,"N6798T","false","Aviation","DirectorBrief",,,,,,,,"https://data.ntsb.gov/Docket?ProjectID=114697"
"ERA23LA225","ACC","130453","2023-05-06T13:00:00Z","Manville","NJ","USA",,"N262MK","false","Aviation","DirectorBrief",,"Minor",,,,,,"https://data.ntsb.gov/Docket?ProjectID=130453"
"CEN23LA186","ACC","174540","2023-05-06T13:00:00Z","Tahlequah","OK","USA",,"N2294L","false","Aviation","DirectorBrief",,"Serious",,,,,,"https://data.ntsb.gov/Docket?ProjectID=174540"
"CEN23FA174","ACC","114698","2023-05-06T09:00:00Z","Victor","CO","USA",,"N15188","false","Aviation","DirectorBrief",,"Fatal",,,,,,"https://data.ntsb.gov/Docket?ProjectID=114698"
"WPR23LA181","ACC","114708","2023-05-06T06:30:00Z","Moorpark","CA","USA",,"N799CP","false","Aviation","DirectorBrief",,"None",,,,,,"https://data.ntsb.gov/Docket?ProjectID=114708"
"DCA23WA280","INC","139287","2023-05-05T12:23:00Z","Quito",,"EC",,"HC-CTF","false","Aviation","None",,,,,,,,"https://data.ntsb.gov/Docket?ProjectID=139287"
"DCA23WA279","OCC","135370","2023-05-05T12:00:00Z","St. Louis","MO","USA",,"N8658A","false","Aviation","None",,"Minor",,,,,,"https://data.ntsb.gov/Docket?ProjectID=135370"
"WPR23LA179","ACC","114706","2023-05-05T08:45:00Z","North Las Vegas","NV","USA",,"N83SE","false","Aviation","DirectorBrief",,"None",,,,,,"https://data.ntsb.gov/Docket?ProjectID=114706"
"ERA23LA218","ACC","109776","2023-05-05T08:00:00Z","Greenville","NC","USA",,"N180LR","false","Aviation","DirectorBrief",,"Serious",,,,,,"https://data.ntsb.gov/Docket?ProjectID=109776"
"ERA23LA221","ACC","114701","2023-05-05T06:45:00Z","Fort Mill","SC","USA",,"N3058E","false","Aviation","DirectorBrief",,"None",,,,,,"https://data.ntsb.gov/Docket?ProjectID=114701"
"DCA23LA278","ACC","135369","2023-05-05T03:54:00Z","Charlotte","NC","USA",,"N921US","false","Aviation","DirectorBrief",,"None",,,,,,"https://data.ntsb.gov/Docket?ProjectID=135369"
"ERA23LA227","ACC","139289","2023-05-04T17:45:00Z","Knoxville","TN","USA",,"N26941","false","Aviation","DirectorBrief",,,,,,,,"https://data.ntsb.gov/Docket?ProjectID=139289"
"CEN23LA175","ACC","114702","2023-05-04T17:32:00Z","Brookings","SD","USA",,"N1674E","false","Aviation","DirectorBrief",,"None",,,,,,"https://data.ntsb.gov/Docket?ProjectID=114702"
"ERA23LA217","ACC","107814","2023-05-04T12:15:00Z","Defuniak Springs","FL","USA",,"N3796T","false","Aviation","DirectorBrief",,"None",,,,,,"https://data.ntsb.gov/Docket?ProjectID=107814"
"CEN23LA171","ACC","107812","2023-05-03T18:00:00Z","Gretna","NE","USA",,"N440RS","false","Aviation","DirectorBrief",,"None",,,,,,"https://data.ntsb.gov/Docket?ProjectID=107812"
"WPR23LA177","ACC","109772","2023-05-03T17:35:00Z","Pasco","WA","USA",,"N777CF","false","Aviation","DirectorBrief",,,,,,,,"https://data.ntsb.gov/Docket?ProjectID=109772"
"WPR23LA183","ACC","122573","2023-05-03T14:31:00Z","Barnhart","TX","USA",,"N343WT","false","Aviation","DirectorBrief",,"None",,,,,,"https://data.ntsb.gov/Docket?ProjectID=122573"
"CEN23LA172","ACC","107813","2023-05-03T12:29:00Z","Houston","TX","USA",,"N28HE","false","Aviation","DirectorBrief",,"Serious",,,,,,"https://data.ntsb.gov/Docket?ProjectID=107813"
"WPR23LA175","ACC","107306","2023-05-03T07:15:00Z","Laurel","MT","USA",,"N62PC","false","Aviation","DirectorBrief",,"None",,,,,,"https://data.ntsb.gov/Docket?ProjectID=107306"
"GAA23WA151","ACC","174538","2023-05-03T04:00:00Z","Toyoma",,"JA",,"JA-7875","false","Aviation","None",,"None",,,,,,"https://data.ntsb.gov/Docket?ProjectID=174538"
"GAA23WA150","ACC","174537","2023-05-02T21:02:00Z","Langley Regional",,"CA",,"C-GIDY","false","Aviation","None",,"Serious",,,,,,"https://data.ntsb.gov/Docket?ProjectID=174537"
"CEN23LA169","ACC","107810","2023-05-02T19:13:00Z","Derby","KS","USA",,"N750TK","false","Aviation","DirectorBrief",,"None",,,,,,"https://data.ntsb.gov/Docket?ProjectID=107810"
"CEN23LA180","ACC","127504","2023-05-02T18:20:00Z","Denison","TX","USA",,"N40SR","false","Aviation","DirectorBrief",,"Minor",,,,,,"https://data.ntsb.gov/Docket?ProjectID=127504"
